generation	repeats	mean	best	mutation rate
788	404	6,581	22,681	0,10000
789	402	6,569	22,836	0,10000
790	402	6,564	19,552	0,10000
791	402	6,582	21,377	0,10000
792	404	6,598	20,843	0,10000
793	401	6,591	23,790	0,10000
794	402	6,569	21,889	0,10000
795	402	6,531	23,349	0,10000
796	401	6,486	19,849	0,10000
797	401	6,439	19,730	0,10000
798	401	6,451	20,430	0,10000
799	406	6,431	20,358	0,10000
800	401	6,430	19,049	0,10000
801	403	6,466	18,968	0,10000
802	401	6,498	18,428	0,10000
803	403	6,500	18,531	0,10000
804	402	6,538	19,538	0,10000
805	403	6,483	17,091	0,10000
806	402	6,454	17,384	0,10000
807	402	6,414	19,206	0,10000
808	404	6,452	19,169	0,10000
809	401	6,448	19,619	0,10000
810	401	6,454	21,777	0,10000
811	400	6,470	18,916	0,10000
812	400	6,455	19,897	0,10000
813	403	6,420	18,342	0,10000
814	400	6,408	16,535	0,10000
815	401	6,426	17,038	0,10000
